Date,Close/Last,Volume,Open,High,Low
01/08/2025,$21408.6257,122,$24168.4985,$24396.705,$21037.7901
01/07/2025,$26807.1365,125,$29952.1079,$30344.3379,$26086.8597
01/06/2025,$33011.5017,117,$32526.5629,$36149.3416,$32084.4127
01/03/2025,$33660.4641,177,$34587.5531,$39073.2379,$29952.1079
01/02/2025,$37796.7076,176,$42553.3875,$42788.7255,$35158.0695
12/31/2024,$42047.0543,475,$45676.9645,$47787.8036,$34494.8442
12/30/2024,$58477.9249,5197,$34223.849,$66179.8955,$30665.2533
12/27/2024,$25216.8222,368,$27099.5262,$28525.817,$23091.6489
12/26/2024,$24696.2261,2414,$24960.0899,$31264.2955,$17864.2929
12/24/2024,$15546.5703,31,$15546.5703,$15817.5655,$14633.7441
12/23/2024,$15689.1994,26,$16395.2133,$16758.9175,$15247.0492
12/20/2024,$16395.2133,55,$15867.4857,$17807.2413,$15018.8427
12/19/2024,$16288.2415,93,$20360.3019,$21929.2218,$13585.4204
12/18/2024,$20267.593,91,$21394.3628,$24960.0899,$20267.593
12/17/2024,$21508.466,82,$19611.4992,$23533.799,$18969.6683
12/16/2024,$21237.4708,190,$16309.6359,$24603.5172,$15546.5703
12/13/2024,$20224.8043,81,$23212.8836,$23526.6676,$19654.2879
12/12/2024,$24033.0008,98,$28026.6152,$28083.6669,$23255.6723
12/11/2024,$28083.6669,708,$25509.2119,$33753.173,$23975.9492
12/10/2024,$24845.9866,174,$25673.2353,$28518.6856,$22185.9542
12/09/2024,$28062.2725,230,$32155.7272,$32155.7272,$27456.0989
12/06/2024,$34944.1259,6290,$37796.7076,$42788.7255,$31378.3987
